State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,Total Charge
WY,120,415,No,Yes,24,227.5,81.0,38.68,234.9,71.0,19.97,128.0,7.49,9.0,13,2.43,1.0,False,46.17
IN,130,408,No,Yes,30,185.0,117.0,31.45,249.5,141.0,21.21,103.0,7.1,7.4,7,2.0,0.0,False,38.55
WI,20,408,No,No,0,186.8,89.0,31.76,253.4,51.0,21.54,105.0,12.29,12.3,6,3.32,2.0,False,44.05
VT,68,415,No,No,0,158.8,119.0,27.0,211.8,105.0,18.0,101.0,8.91,10.3,3,2.78,1.0,False,35.91
CA,112,415,No,No,0,208.7,150.0,35.48,212.8,104.0,18.09,98.0,8.01,8.5,4,2.3,0.0,False,43.489999999999995
IN,77,408,No,No,0,185.9,95.0,31.6,212.0,98.0,18.02,81.0,12.7,11.3,4,3.05,3.0,False,44.3
SC,109,415,No,No,0,222.5,74.0,37.83,169.7,75.0,14.42,94.0,11.89,9.0,3,2.43,2.0,False,49.72
IN,108,415,No,No,0,201.1,101.0,34.19,170.7,86.0,14.51,113.0,10.68,11.6,3,3.13,3.0,False,44.87
IA,79,415,No,Yes,17,167.9,114.0,28.54,243.7,93.0,20.71,114.0,9.54,9.1,2,2.46,1.0,False,38.08
MD,119,408,No,No,0,239.1,88.0,40.65,243.5,79.0,20.7,92.0,10.39,10.9,3,2.94,3.0,True,51.04
MN,38,510,No,No,0,175.7,109.0,29.87,211.8,97.0,18.0,109.0,6.21,9.2,3,2.48,5.0,True,36.08
AR,109,415,No,Yes,29,111.2,90.0,18.9,263.5,98.0,22.4,128.0,10.11,9.0,6,2.43,6.0,True,29.009999999999998
MS,78,415,No,No,0,87.7,74.0,14.91,214.8,58.0,18.26,147.0,9.06,10.8,6,2.92,1.0,False,23.97
MN,134,415,No,No,0,244.1,99.0,41.5,246.9,111.0,20.99,133.0,9.0,7.2,2,1.94,0.0,False,50.5
WA,47,415,No,Yes,27,165.0,89.0,28.05,127.3,118.0,10.82,95.0,12.8,7.7,4,2.08,2.0,False,40.85
MS,59,408,No,Yes,27,127.4,110.0,21.66,103.3,99.0,8.78,73.0,7.39,9.1,3,2.46,0.0,False,29.05
ID,151,415,No,No,0,194.8,106.0,33.12,292.7,103.0,24.88,82.0,10.11,5.5,3,1.49,0.0,False,43.23
NC,129,415,No,No,0,54.7,131.0,9.3,256.1,105.0,21.77,135.0,7.95,11.1,4,3.0,1.0,False,17.25
VA,107,510,No,Yes,27,283.4,104.0,48.18,224.1,152.0,19.05,63.0,10.86,14.4,7,3.89,2.0,False,59.04
MT,137,408,Yes,No,0,258.0,112.0,43.86,246.5,117.0,20.95,100.0,7.79,10.9,3,2.94,0.0,True,51.65
MI,76,510,No,No,0,90.5,142.0,15.39,211.7,75.0,17.99,76.0,8.77,9.3,2,2.51,1.0,False,24.16
HI,24,415,No,No,0,235.6,132.0,40.05,115.9,129.0,9.85,136.0,8.34,16.2,2,4.37,0.0,False,48.39
NC,169,408,No,No,0,142.5,82.0,24.23,231.4,110.0,19.67,67.0,5.9,10.0,4,2.7,2.0,False,30.130000000000003
MN,30,408,No,No,0,54.0,68.0,9.18,179.3,96.0,15.24,101.0,11.12,10.2,8,2.75,1.0,False,20.299999999999997
WV,70,415,No,No,0,214.8,87.0,36.52,131.0,114.0,11.14,104.0,9.76,9.4,3,2.54,3.0,False,46.28
SD,52,510,Yes,No,0,251.4,118.0,42.74,196.6,80.0,16.71,53.0,8.64,11.0,2,2.97,0.0,True,51.38
HI,3,408,No,No,0,139.0,99.0,23.63,250.7,108.0,21.31,87.0,12.88,6.1,3,1.65,4.0,False,36.51
MS,38,415,No,No,0,117.3,114.0,19.94,208.7,105.0,17.74,98.0,9.15,14.4,2,3.89,2.0,False,29.090000000000003
NY,104,415,No,No,0,264.0,108.0,44.88,132.2,75.0,11.24,91.0,8.0,10.6,8,2.86,3.0,False,52.88
LA,27,408,No,No,0,82.6,105.0,14.04,204.0,99.0,17.34,122.0,10.09,9.1,4,2.46,1.0,False,24.13
KS,166,415,Yes,Yes,28,175.8,126.0,29.89,253.6,76.0,21.56,72.0,5.78,11.4,5,3.08,1.0,False,35.67
MA,13,408,No,No,0,220.4,100.0,37.47,211.2,79.0,17.95,112.0,11.67,13.6,8,3.67,2.0,False,49.14
AK,52,408,No,No,0,217.0,104.0,36.89,152.3,83.0,12.95,109.0,6.04,11.8,4,3.19,2.0,False,42.93
SD,114,415,No,Yes,25,129.0,77.0,21.93,290.0,110.0,24.65,110.0,7.97,11.6,5,3.13,1.0,False,29.9
CO,156,408,No,No,0,150.5,106.0,25.59,152.9,112.0,13.0,86.0,9.72,3.5,3,0.95,1.0,False,35.31
NH,90,415,No,Yes,42,193.3,66.0,32.86,263.3,85.0,22.38,97.0,9.65,11.1,4,3.0,0.0,False,42.51
WV,62,415,No,No,0,189.5,122.0,32.22,103.8,95.0,8.82,106.0,8.13,10.8,5,2.92,2.0,False,40.35
AZ,82,415,No,Yes,33,137.8,95.0,23.43,235.5,128.0,20.02,70.0,12.06,11.0,6,2.97,2.0,False,35.49
ME,52,510,No,No,0,129.3,80.0,21.98,142.7,101.0,12.13,89.0,11.62,12.3,4,3.32,3.0,False,33.6
NH,146,510,No,No,0,115.6,77.0,19.65,213.6,100.0,18.16,72.0,9.83,10.7,6,2.89,1.0,False,29.479999999999997
RI,120,415,No,Yes,23,221.9,114.0,37.72,254.7,84.0,21.65,117.0,11.27,7.2,5,1.94,2.0,False,48.989999999999995
ID,130,415,No,No,0,263.7,113.0,44.83,186.5,103.0,15.85,99.0,8.79,18.3,6,4.94,1.0,True,53.62
WI,90,408,No,No,0,61.3,91.0,10.42,194.4,94.0,16.52,80.0,6.44,11.4,9,3.08,1.0,False,16.86
NM,147,408,Yes,No,0,183.8,113.0,31.25,164.7,110.0,14.0,87.0,5.0,10.1,4,2.73,1.0,False,36.25
WY,159,415,No,No,0,167.4,68.0,28.46,143.8,74.0,12.22,111.0,6.3,10.3,3,2.78,0.0,True,34.76
IL,74,510,No,Yes,27,154.1,122.0,26.2,195.3,150.0,16.6,86.0,12.45,13.2,2,3.56,4.0,False,38.65
TX,130,408,No,No,0,252.0,101.0,42.84,170.2,105.0,14.47,64.0,9.41,5.7,5,1.54,0.0,False,52.25
RI,155,408,Yes,No,0,163.1,94.0,27.73,291.7,108.0,24.79,111.0,4.34,11.2,3,3.02,0.0,False,32.07
MI,87,415,No,No,0,198.3,80.0,33.71,187.0,89.0,15.9,96.0,6.01,16.6,4,4.48,2.0,False,39.72
OR,81,415,No,No,0,324.7,48.0,55.2,236.4,82.0,20.09,78.0,8.44,13.1,5,3.54,0.0,True,63.64
VA,99,510,No,No,0,128.3,78.0,21.81,215.3,120.0,18.3,140.0,6.47,14.3,9,3.86,2.0,False,28.279999999999998
SD,131,510,No,No,0,187.9,110.0,31.94,200.5,101.0,17.04,125.0,9.12,10.2,11,2.75,2.0,False,41.06
AL,89,510,No,No,0,129.2,71.0,21.96,214.1,68.0,18.2,100.0,9.67,10.3,4,2.78,5.0,True,31.630000000000003
MS,123,415,Yes,No,0,125.5,106.0,21.34,128.9,96.0,10.96,129.0,11.34,6.3,6,1.7,4.0,True,32.68
MS,130,510,No,Yes,26,257.2,108.0,43.72,224.3,122.0,19.07,118.0,9.18,12.6,4,3.4,1.0,False,52.9
HI,99,415,No,No,0,124.6,90.0,21.18,146.4,70.0,12.44,95.0,7.62,10.5,6,2.84,1.0,False,28.8
WV,36,408,No,No,0,175.1,144.0,29.77,216.9,69.0,18.44,146.0,10.97,9.9,3,2.67,1.0,False,40.74
WV,87,415,No,No,0,124.3,91.0,21.13,173.4,105.0,14.74,109.0,11.53,7.5,5,2.03,3.0,False,32.66
WV,139,415,No,No,0,271.6,130.0,46.17,156.0,131.0,13.26,108.0,6.13,11.6,9,3.13,2.0,False,52.300000000000004
IN,189,510,No,No,0,219.9,80.0,37.38,143.3,117.0,12.18,69.0,5.88,11.7,7,3.16,1.0,False,43.260000000000005
NM,96,415,No,Yes,33,183.3,115.0,31.16,201.4,87.0,17.12,84.0,7.98,10.4,15,2.81,3.0,False,39.14
DE,112,408,No,No,0,101.1,119.0,17.19,214.4,67.0,18.22,112.0,8.08,10.3,5,2.78,2.0,False,25.270000000000003
NC,75,408,No,No,0,203.3,70.0,34.56,228.9,97.0,19.46,118.0,10.0,14.3,3,3.86,1.0,False,44.56
NM,178,415,No,Yes,35,175.4,88.0,29.82,190.0,65.0,16.15,94.0,6.24,10.5,3,2.84,2.0,False,36.06
SC,112,415,No,No,0,266.0,97.0,45.22,214.6,94.0,18.24,100.0,13.78,14.2,2,3.83,2.0,True,59.0
NJ,108,415,No,Yes,41,171.6,110.0,29.17,136.1,78.0,11.57,103.0,8.25,10.8,7,2.92,0.0,False,37.42
AZ,100,510,No,No,0,78.7,98.0,13.38,225.6,102.0,19.18,106.0,6.77,14.0,8,3.78,0.0,False,20.15
RI,121,510,No,Yes,20,211.9,110.0,36.02,215.1,120.0,18.28,107.0,10.73,9.4,2,2.54,0.0,False,46.75
SD,116,415,No,No,0,63.7,101.0,10.83,195.8,95.0,16.64,87.0,9.45,10.0,6,2.7,1.0,False,20.28
NH,161,415,No,No,0,173.4,100.0,29.48,213.7,74.0,18.16,69.0,6.37,11.5,4,3.11,1.0,False,35.85
AL,19,415,Yes,No,0,237.7,98.0,40.41,207.1,121.0,17.6,95.0,8.2,4.5,4,1.22,0.0,False,48.61
WV,104,415,No,No,0,225.9,123.0,38.4,162.8,106.0,13.84,85.0,12.24,10.1,4,2.73,1.0,False,50.64
ID,119,415,Yes,Yes,32,173.0,101.0,29.41,209.4,93.0,17.8,91.0,10.4,12.2,4,3.29,0.0,False,39.81
MD,125,415,No,No,0,224.9,102.0,38.23,143.8,87.0,12.22,105.0,8.95,8.0,2,2.16,0.0,False,47.17999999999999
IN,156,510,No,No,0,237.7,122.0,40.41,181.5,91.0,15.43,151.0,8.36,7.7,4,2.08,1.0,False,48.769999999999996
WY,109,415,No,No,0,137.0,128.0,23.29,217.0,116.0,18.45,86.0,8.19,10.0,5,2.7,2.0,False,31.479999999999997
NH,95,510,No,No,0,142.5,109.0,24.23,176.1,107.0,14.97,88.0,8.53,8.2,3,2.21,2.0,False,32.76
MN,90,408,No,No,0,142.4,126.0,24.21,126.2,118.0,10.73,71.0,12.34,4.6,4,1.24,1.0,False,36.55
MA,105,415,No,Yes,21,147.0,112.0,24.99,197.3,43.0,16.77,93.0,12.03,8.7,3,2.35,2.0,False,37.019999999999996
NH,101,510,No,No,0,220.3,124.0,37.45,188.6,101.0,16.03,98.0,12.53,10.6,4,2.86,1.0,False,49.980000000000004
MN,95,415,No,No,0,149.2,96.0,25.36,260.7,116.0,22.16,120.0,9.05,8.1,2,2.19,1.0,False,34.41
IA,123,415,No,No,0,204.4,88.0,34.75,137.5,111.0,11.69,100.0,10.17,10.0,4,2.7,0.0,False,44.92
NY,160,408,No,No,0,216.8,77.0,36.86,207.3,117.0,17.62,117.0,10.29,5.6,2,1.51,1.0,False,47.15
AL,141,510,No,Yes,28,308.0,123.0,52.36,247.8,128.0,21.06,103.0,6.88,7.4,3,2.0,1.0,False,59.24
WV,87,415,No,No,0,58.0,125.0,9.86,67.5,116.0,5.74,136.0,8.37,11.5,3,3.11,0.0,False,18.229999999999997
NM,81,415,No,No,0,173.2,80.0,29.44,236.2,94.0,20.08,84.0,10.81,11.8,6,3.19,2.0,False,40.25
CA,75,415,No,Yes,19,210.3,90.0,35.75,241.8,87.0,20.55,102.0,9.71,13.1,3,3.54,4.0,False,45.46
MA,126,408,No,Yes,24,58.9,125.0,10.01,305.5,90.0,25.97,73.0,7.15,12.1,6,3.27,0.0,False,17.16
ME,28,415,No,No,0,236.8,102.0,40.26,167.1,87.0,14.2,115.0,12.61,9.7,3,2.62,3.0,False,52.87
FL,153,415,No,No,0,228.9,102.0,38.91,160.7,136.0,13.66,109.0,9.14,12.5,2,3.38,0.0,False,48.05
NH,97,408,No,Yes,32,90.0,87.0,15.3,276.3,113.0,23.49,107.0,8.33,8.6,6,2.32,2.0,True,23.630000000000003
IN,115,408,No,No,0,146.7,128.0,24.94,106.2,74.0,9.03,104.0,8.9,11.1,4,3.0,2.0,False,33.84
WI,95,408,No,No,0,237.3,83.0,40.34,154.0,65.0,13.09,105.0,10.67,11.2,6,3.02,1.0,False,51.010000000000005
MA,17,415,Yes,No,0,162.8,118.0,27.68,229.6,91.0,19.52,94.0,14.97,13.6,3,3.67,0.0,True,42.65
NH,105,415,No,Yes,20,186.9,114.0,31.77,256.3,91.0,21.79,104.0,15.06,8.9,2,2.4,1.0,False,46.83
TX,121,415,No,No,0,86.1,100.0,14.64,259.8,113.0,22.08,79.0,6.66,9.1,9,2.46,2.0,False,21.3
NC,125,408,No,No,0,212.3,89.0,36.09,215.4,127.0,18.31,73.0,8.41,11.3,2,3.05,2.0,False,44.5
CT,124,415,No,No,0,151.0,98.0,25.67,120.6,119.0,10.25,81.0,6.88,9.2,2,2.48,2.0,False,32.550000000000004
NJ,35,408,No,No,0,158.6,67.0,26.96,130.4,96.0,11.08,80.0,10.34,6.9,5,1.86,2.0,False,37.3
WY,134,510,No,No,0,296.0,93.0,50.32,226.4,117.0,19.24,98.0,11.11,12.3,10,3.32,0.0,True,61.43
LA,123,510,No,Yes,32,212.3,77.0,36.09,251.5,78.0,21.38,85.0,9.39,6.6,2,1.78,3.0,False,45.480000000000004
NV,124,415,No,No,0,234.4,61.0,39.85,179.3,111.0,15.24,117.0,12.85,10.4,6,2.81,3.0,False,52.7
WV,133,510,No,No,0,176.8,92.0,30.06,187.5,97.0,15.94,88.0,8.86,6.5,3,1.76,2.0,False,38.92
AR,185,415,No,Yes,19,157.3,123.0,26.74,257.7,94.0,21.9,107.0,8.57,9.6,6,2.59,0.0,False,35.31
SC,1,415,No,Yes,26,146.6,68.0,24.92,172.8,67.0,14.69,113.0,7.82,10.0,2,2.7,1.0,False,32.74
KS,107,415,No,No,0,260.5,108.0,44.29,102.4,110.0,8.7,148.0,5.84,9.8,5,2.65,1.0,False,50.129999999999995
NY,91,415,No,Yes,20,146.1,98.0,24.84,277.4,104.0,23.58,100.0,6.2,6.2,3,1.67,1.0,False,31.04
MI,178,408,Yes,No,0,124.5,134.0,21.17,141.2,78.0,12.0,113.0,12.07,11.4,2,3.08,2.0,True,33.24
MA,123,415,No,No,0,209.4,49.0,35.6,237.4,117.0,20.18,98.0,10.76,9.8,11,2.65,1.0,False,46.36
UT,170,415,No,No,0,285.7,44.0,48.57,167.5,144.0,14.24,97.0,11.7,8.7,4,2.35,1.0,True,60.269999999999996
HI,135,415,No,No,0,190.9,44.0,32.45,161.4,109.0,13.72,100.0,10.44,8.4,2,2.27,1.0,False,42.89
PA,85,408,No,No,0,144.4,88.0,24.55,264.6,105.0,22.49,94.0,8.34,9.9,3,2.67,1.0,False,32.89
OR,134,415,No,Yes,50,208.8,130.0,35.5,132.9,104.0,11.3,107.0,6.15,11.1,4,3.0,2.0,False,41.65
TN,148,415,No,Yes,36,77.6,141.0,13.19,207.0,60.0,17.6,115.0,11.51,10.9,2,2.94,1.0,False,24.7
CT,93,415,No,No,0,271.1,101.0,46.09,237.4,133.0,20.18,103.0,6.54,8.4,6,2.27,1.0,True,52.63
AZ,138,415,No,No,0,240.8,104.0,40.94,144.5,92.0,12.28,98.0,5.66,11.6,1,3.13,0.0,False,46.599999999999994
OR,159,510,No,No,0,114.8,98.0,19.52,192.6,101.0,16.37,108.0,11.66,12.2,5,3.29,0.0,False,31.18
DE,103,415,No,Yes,34,138.8,80.0,23.6,142.0,108.0,12.07,77.0,8.27,11.8,7,3.19,1.0,False,31.87
MA,150,408,No,Yes,27,209.8,112.0,35.67,155.0,80.0,13.18,111.0,11.32,7.2,6,1.94,0.0,False,46.99
CT,37,408,No,No,0,134.9,98.0,22.93,248.4,130.0,21.11,113.0,10.63,14.7,2,3.97,3.0,False,33.56
AR,33,415,Yes,No,0,164.0,99.0,27.88,153.1,102.0,13.01,104.0,5.57,6.4,4,1.73,0.0,False,33.45
SD,55,415,No,No,0,245.5,130.0,41.74,192.7,54.0,16.38,83.0,6.38,9.1,4,2.46,1.0,False,48.120000000000005
CT,134,408,No,Yes,32,80.3,94.0,13.65,199.9,124.0,16.99,117.0,7.69,16.6,3,4.48,0.0,False,21.34
CT,107,408,No,No,0,90.7,90.0,15.42,207.5,109.0,17.64,96.0,7.62,5.6,5,1.51,2.0,False,23.04
MA,80,408,No,Yes,36,190.3,115.0,32.35,256.6,78.0,21.81,145.0,9.67,3.8,4,1.03,1.0,False,42.02
MS,78,408,No,No,0,108.6,108.0,18.46,209.9,126.0,17.84,117.0,10.02,7.9,5,2.13,1.0,True,28.48
MT,85,408,No,Yes,17,89.8,88.0,15.27,233.2,75.0,19.82,116.0,7.46,9.3,7,2.51,4.0,True,22.73
AK,61,415,No,Yes,15,252.4,106.0,42.91,187.8,69.0,15.96,137.0,11.68,10.0,3,2.7,2.0,False,54.589999999999996
DE,97,415,No,Yes,32,183.4,94.0,31.18,269.1,120.0,22.87,38.0,9.16,6.7,4,1.81,5.0,False,40.34
OH,136,408,Yes,No,0,183.4,103.0,31.18,141.9,113.0,12.06,122.0,9.02,10.4,9,2.81,2.0,False,40.2
MN,135,408,No,No,0,155.2,100.0,26.38,135.9,84.0,11.55,82.0,8.31,3.8,9,1.03,3.0,False,34.69
CA,87,415,No,Yes,19,165.8,122.0,28.19,186.9,89.0,15.89,78.0,11.24,0.0,0,0.0,1.0,False,39.43
OH,165,510,No,No,0,209.4,67.0,35.6,273.8,89.0,23.27,88.0,6.76,12.8,1,3.46,0.0,False,42.36
NV,148,415,No,No,0,279.3,104.0,47.48,201.6,87.0,17.14,99.0,12.64,7.9,2,2.13,2.0,True,60.12
SC,99,415,No,No,0,174.1,102.0,29.6,99.1,118.0,8.42,126.0,9.52,7.7,2,2.08,2.0,False,39.120000000000005
WV,123,415,No,No,0,175.7,78.0,29.87,184.6,96.0,15.69,92.0,7.06,9.1,2,2.46,2.0,False,36.93
NM,127,415,Yes,No,0,256.5,87.0,43.61,222.1,101.0,18.88,122.0,7.05,13.0,3,3.51,1.0,False,50.66
WY,151,415,No,No,0,170.2,89.0,28.93,187.5,83.0,15.94,100.0,5.38,4.3,3,1.16,0.0,False,34.31
CA,185,408,No,No,0,139.6,92.0,23.73,250.2,115.0,21.27,79.0,7.11,10.8,4,2.92,1.0,False,30.84
KS,65,415,No,Yes,34,208.8,119.0,35.5,142.1,106.0,12.08,87.0,9.66,12.5,4,3.38,4.0,False,45.16
WY,58,510,No,No,0,210.1,126.0,35.72,248.9,108.0,21.16,88.0,7.14,14.4,2,3.89,4.0,False,42.86
OK,104,415,No,No,0,113.6,87.0,19.31,158.6,98.0,13.48,87.0,8.45,10.5,6,2.84,2.0,False,27.759999999999998
UT,44,415,No,No,0,202.6,89.0,34.44,163.0,96.0,13.86,151.0,12.06,8.3,3,2.24,0.0,False,46.5
MA,58,408,No,No,0,174.4,112.0,29.65,265.8,122.0,22.59,87.0,8.21,0.0,0,0.0,4.0,False,37.86
UT,108,415,No,No,0,210.6,117.0,35.8,164.2,103.0,13.96,68.0,9.06,9.4,5,2.54,0.0,False,44.86
MN,132,510,No,No,0,121.5,88.0,20.66,253.0,124.0,21.51,120.0,8.81,10.7,4,2.89,1.0,False,29.47
NE,80,415,No,No,0,127.8,67.0,21.73,181.6,112.0,15.44,63.0,8.88,15.9,2,4.29,2.0,False,30.61
OH,162,415,No,No,0,135.2,98.0,22.98,242.0,107.0,20.57,96.0,11.11,10.2,2,2.75,2.0,False,34.09
KY,110,510,No,No,0,99.4,62.0,16.9,275.0,86.0,23.38,94.0,9.54,16.7,3,4.51,2.0,False,26.439999999999998
WA,96,415,No,No,0,276.9,105.0,47.07,246.9,94.0,20.99,107.0,11.45,10.3,3,2.78,1.0,True,58.519999999999996
NY,168,408,No,No,0,163.4,134.0,27.78,240.1,87.0,20.41,147.0,7.38,11.6,2,3.13,2.0,True,35.160000000000004
IN,72,510,No,No,0,287.4,116.0,48.86,235.3,126.0,20.0,114.0,13.14,5.0,3,1.35,4.0,True,62.0
CO,125,408,No,Yes,23,120.5,104.0,20.49,227.8,115.0,19.36,100.0,7.13,10.2,3,2.75,1.0,False,27.619999999999997
DC,170,510,No,No,0,184.1,106.0,31.3,204.9,70.0,17.42,133.0,10.09,9.8,3,2.65,2.0,False,41.39
AK,71,510,No,No,0,185.0,84.0,31.45,232.5,129.0,19.76,82.0,8.6,14.9,4,4.02,3.0,False,40.05
SC,124,415,No,No,0,160.9,109.0,27.35,144.2,152.0,12.26,97.0,5.42,12.9,12,3.48,1.0,False,32.77
KS,68,415,No,No,0,207.6,68.0,35.29,251.6,123.0,21.39,100.0,8.62,10.9,6,2.94,2.0,False,43.91
UT,97,415,No,No,0,209.2,134.0,35.56,0.0,0.0,0.0,94.0,7.89,11.8,6,3.19,1.0,False,43.45
IL,98,510,Yes,No,0,158.4,71.0,26.93,306.6,66.0,26.06,93.0,6.49,2.1,4,0.57,1.0,False,33.42
DC,24,408,No,No,0,149.0,73.0,25.33,131.0,81.0,11.14,69.0,10.74,8.6,3,2.32,2.0,True,36.07
DC,136,510,No,No,0,204.5,63.0,34.77,208.8,95.0,17.75,119.0,10.08,9.8,2,2.65,0.0,False,44.85
OK,44,408,No,No,0,288.8,86.0,49.1,175.9,87.0,14.95,106.0,9.69,9.5,2,2.57,0.0,True,58.79
KY,96,415,No,Yes,40,108.6,90.0,18.46,206.4,154.0,17.54,118.0,5.68,13.4,4,3.62,0.0,False,24.14
NE,31,415,No,No,0,97.5,129.0,16.58,260.4,78.0,22.13,100.0,3.99,7.0,5,1.89,1.0,False,20.57
AL,72,415,No,No,0,166.5,102.0,28.31,261.0,103.0,22.19,85.0,11.82,13.3,5,3.59,0.0,False,40.129999999999995
HI,24,415,No,No,0,156.2,104.0,26.55,90.0,101.0,7.65,116.0,9.23,7.3,5,1.97,1.0,False,35.78
SC,112,415,No,Yes,31,225.2,89.0,38.28,256.8,117.0,21.83,87.0,11.24,11.5,1,3.11,4.0,False,49.52
GA,117,415,Yes,No,0,287.4,118.0,48.86,259.6,84.0,22.07,86.0,6.89,10.0,3,2.7,1.0,True,55.75
KS,137,415,No,Yes,19,175.3,96.0,29.8,241.3,146.0,20.51,109.0,9.51,7.8,2,2.11,0.0,False,39.31
PA,136,408,No,No,0,102.1,75.0,17.36,219.5,97.0,18.66,92.0,3.32,9.8,5,2.65,0.0,False,20.68
UT,95,415,No,No,0,157.9,103.0,26.84,259.6,90.0,22.07,117.0,10.35,14.0,2,3.78,0.0,False,37.19
OR,82,415,No,Yes,19,146.5,73.0,24.91,246.4,65.0,20.94,114.0,8.96,4.1,4,1.11,1.0,False,33.870000000000005
ND,145,415,No,No,0,245.8,116.0,41.79,286.7,91.0,24.37,115.0,10.83,9.0,13,2.43,1.0,True,52.62
KY,56,415,Yes,No,0,177.7,114.0,30.21,215.6,110.0,18.33,67.0,10.65,10.5,5,2.84,1.0,False,40.86
MN,155,408,Yes,No,0,250.8,146.0,42.64,152.5,105.0,12.96,104.0,6.66,10.0,5,2.7,2.0,False,49.3
OH,133,408,No,No,0,117.8,100.0,20.03,199.2,105.0,16.93,119.0,10.98,11.8,4,3.19,0.0,True,31.01
TX,53,415,No,No,0,119.7,113.0,20.35,189.7,84.0,16.12,108.0,11.53,12.9,7,3.48,2.0,False,31.880000000000003
WY,123,415,No,No,0,242.2,87.0,41.17,226.1,101.0,19.22,121.0,12.09,8.2,3,2.21,5.0,True,53.260000000000005
GA,136,415,No,No,0,163.4,83.0,27.78,249.3,119.0,21.19,90.0,11.24,9.8,4,2.65,7.0,False,39.02
TX,57,415,No,No,0,161.0,113.0,27.37,208.0,134.0,17.68,81.0,9.36,8.4,4,2.27,3.0,False,36.730000000000004
WV,62,408,No,No,0,128.7,111.0,21.88,169.5,104.0,14.41,97.0,8.71,10.3,5,2.78,1.0,False,30.59
NM,112,415,No,No,0,81.6,94.0,13.87,268.1,112.0,22.79,75.0,6.34,8.6,18,2.32,1.0,False,20.21
MI,55,415,No,Yes,20,207.7,91.0,35.31,199.7,113.0,16.97,110.0,9.74,7.3,1,1.97,1.0,False,45.050000000000004
NC,95,408,No,No,0,128.6,115.0,21.86,216.2,88.0,18.38,96.0,11.49,6.3,2,1.7,6.0,True,33.35
NY,125,415,No,No,0,233.3,65.0,39.66,209.8,93.0,17.83,109.0,9.48,9.1,4,2.46,1.0,False,49.14
TX,1,415,No,No,0,182.1,106.0,30.96,134.9,106.0,11.47,75.0,6.85,10.0,3,2.7,5.0,True,37.81
KY,98,415,No,Yes,36,168.0,81.0,28.56,163.2,125.0,13.87,120.0,7.77,8.0,2,2.16,6.0,True,36.33
SD,105,415,No,No,0,251.6,88.0,42.77,175.1,103.0,14.88,112.0,8.3,5.4,5,1.46,1.0,False,51.07000000000001
ID,113,415,No,Yes,30,183.8,102.0,31.25,183.4,123.0,15.59,52.0,10.58,11.6,7,3.13,0.0,False,41.83
OR,99,408,No,No,0,256.4,44.0,43.59,214.5,105.0,18.23,75.0,10.52,7.9,1,2.13,3.0,True,54.11
WI,103,415,No,No,0,180.2,134.0,30.63,97.7,85.0,8.3,134.0,8.18,8.4,3,2.27,1.0,False,38.81
WV,177,408,No,No,0,227.8,81.0,38.73,161.8,97.0,13.75,106.0,9.76,8.0,5,2.16,1.0,False,48.489999999999995
SC,149,415,No,Yes,20,147.8,132.0,25.13,276.8,94.0,23.53,110.0,6.75,10.2,6,2.75,0.0,False,31.88
CT,160,415,No,No,0,234.9,136.0,39.93,270.8,134.0,23.02,101.0,9.87,13.9,2,3.75,1.0,True,49.8
NV,116,408,No,No,0,110.9,54.0,18.85,213.4,82.0,18.14,116.0,8.38,7.9,2,2.13,2.0,False,27.230000000000004
ND,90,415,No,Yes,22,124.5,94.0,21.17,231.7,90.0,19.69,108.0,10.0,6.4,12,1.73,1.0,False,31.17
MI,148,415,Yes,No,0,233.5,81.0,39.7,187.7,71.0,15.95,97.0,5.5,9.6,2,2.59,0.0,True,45.2
MT,147,415,No,Yes,35,197.3,134.0,33.54,141.1,99.0,11.99,90.0,9.54,10.1,4,2.73,2.0,True,43.08
NE,95,510,No,No,0,58.2,96.0,9.89,202.1,126.0,17.18,97.0,9.47,10.4,5,2.81,0.0,False,19.36
UT,201,510,No,No,0,212.7,72.0,36.16,225.2,90.0,19.14,99.0,8.78,7.0,6,1.89,1.0,False,44.94
WV,80,415,No,No,0,151.5,89.0,25.76,131.7,78.0,11.19,131.0,10.59,11.8,4,3.19,0.0,False,36.35
AR,122,415,Yes,No,0,146.3,117.0,24.87,218.7,93.0,18.59,97.0,10.62,11.5,5,3.11,1.0,False,35.49
MT,132,408,No,No,0,195.1,100.0,33.17,148.8,95.0,12.65,117.0,10.1,6.7,2,1.81,0.0,False,43.27
UT,83,510,No,No,0,208.9,71.0,35.51,214.8,92.0,18.26,108.0,11.16,13.0,5,3.51,1.0,False,46.67
HI,99,408,No,No,0,135.7,107.0,23.07,208.4,103.0,17.71,95.0,9.4,8.8,3,2.38,7.0,True,32.47
KS,84,415,No,No,0,225.9,86.0,38.4,275.6,105.0,23.43,108.0,9.06,14.3,3,3.86,3.0,True,47.46
NY,46,415,No,No,0,122.2,67.0,20.77,167.2,62.0,14.21,98.0,8.77,9.7,6,2.62,1.0,False,29.54
OH,87,510,No,No,0,153.3,106.0,26.06,224.5,117.0,19.08,152.0,12.3,8.9,5,2.4,2.0,False,38.36
